Years,English,German & related,French & related,Italian & related,Spanish & related,Russian,Arabic,Chinese,Japanese,Korean
2006,58.7566,56.1271,35.6109,38.0921,33.8585,70.8342,50.4817,42.2213,44.4883,57.3562
2007,55.6979,51.3601,35.0668,37.2516,37.2928,72.558,62.6765,42.065,46.532,55.9267
2008,49.688,49.8183,35.8892,41.1976,34.8402,59.2756,57.4897,39.7575,39.7518,54.8127
2009,46.8198,53.4151,36.6969,42.365,35.331,58.815,53.8987,36.9751,46.5846,45.5821
2010,40.3099,44.554,35.0923,38.684,35.5999,46.0711,42.7348,37.8441,45.3302,42.3196
2011,29.2852,33.3176,29.0528,28.8573,30.1099,33.9357,31.0123,29.0004,31.4948,38.8618
2012,26.0969,27.1497,25.6343,26.9771,25.3994,26.6723,27.1148,25.864,26.3271,29.0789
2013,25.764,25.4603,23.8747,25.3658,25.0219,27.7061,27.0464,25.7502,25.6708,30.181
2014,27.6207,26.0837,25.126,26.2219,25.5983,30.2255,28.7543,27.8626,24.2159,30.7301
2015,26.7913,25.5099,24.7524,25.523,26.3327,31.4726,29.4915,25.4939,27.5833,29.4658
2016,26.9145,27.1597,25.5705,27.3468,26.4632,28.344,27.5768,27.3307,25.8592,30.5195
2017,25.9807,28.6866,26.2641,24.5961,24.7652,27.9447,28.5696,26.9854,25.5078,22.1781
2018,27.7227,28.5203,25.8578,26.9936,26.3979,28.8245,29.8036,26.9333,26.3309,30.3691
